hu_HU;
CSOK;false
Putyin;false
Falhoz vert lófasz;false
Öklözözsír;false
Fideszprolik nemzeti színű koponyaűri vákuumába szaró hullámos papagáj;false
Sziasztok, _______ vagyok, 10 éve ___________;true
Harry Potter és a ___________________;true
_____________. Mér, a Gyurcsány jobb vót?;true
Van,  akinek 2020 kedvezett,  itt van például ______;true
Boldog szeretnék lenni! Mi kell hozzá?;true
_______, lelki Trianont okoz;true
"________, erre még Orbán is megnyalná a száját!";true
________. Hazaárulás!!!!;true
Manórúd;false
